Round,Theme,Variable,Description,Groups,Countries Covered,,question - do all countries have info for all rounds,,,,,
"5, 6, 7, 8, 9, 10",Human Values,imprich ,"Important to be rich, have money and expensive things ",Social status,"Belgium, Czechia, Estonia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10",Human Values,ipshabt ,Important to show abilities and be admired ,Social status,"Belgium, Czechia, Estonia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10",Human Values,ipsuces ,Important to be successful and that people recognizes achievemnets ,Social status,"Belgium, Czechia, Estonia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10",Human Values,iprspot ,Important to get respect from others ,Social status,"Belgium, Czechia, Estonia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10",Human Values,ipeqopt ,Important that people are treated equally and have equal opportunities ,People Friendless,"Belgium, Czechia, Estonia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10",Human Values,ipudrst ,Important to understand different people ,"Values of Equality, Compassion, and Community","Belgium, Czechia, Estonia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10",Human Values,ipmodst ,Important to be humble and modest not draw attention ,"Values of Equality, Compassion, and Community","Belgium, Czechia, Estonia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10",Human Values,iphlppl ,Important to help people and care for others well-being ,"Values of Equality, Compassion, and Community","Belgium, Czechia, Estonia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10",Human Values,iplylfr ,Important to be loyal friends and devote to people close ,"Values of Equality, Compassion, and Community","Belgium, Czechia, Estonia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10",Human Values,ipcrtiv ,Important to think new ideas and being creative ,"Values of Personal Freedom, Exploration, and Enjoyment","Belgium, Czechia, Estonia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10",Human Values,impdiff ,Important to try new and different things in life ,"Values of Personal Freedom, Exploration, and Enjoyment","Belgium, Czechia, Estonia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10",Human Values,ipgdtim ,Important to have good time ,"Values of Personal Freedom, Exploration, and Enjoyment","Belgium, Czechia, Estonia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10",Human Values,impfree ,Important to make own decisions and be free ,"Values of Personal Freedom, Exploration, and Enjoyment","Belgium, Czechia, Estonia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10",Human Values,ipadvnt ,Important to seek adventures and have exciting life ,"Values of Personal Freedom, Exploration, and Enjoyment","Belgium, Czechia, Estonia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10",Human Values,impfun ,Important to seek fun and things that give pleasure ,"Values of Personal Freedom, Exploration, and Enjoyment","Belgium, Czechia, Estonia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"8, 9, 10, 11",social and media trust,nwspol,"News about politics and current affairs, watching, reading or listening, in minutes",media trust,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"8, 9, 10, 11",social and media trust,netusoft,"Internet use, how often",,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"8, 9, 10, 11",social and media trust,netustm,"Internet use, how much time on typical day, in minutes",,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",social and media trust,ppltrst,Most people can be trusted or you can't be too careful,social trust,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",social and media trust,pplfair,"Most people try to take advantage of you, or try to be fair",,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",social and media trust,pplhlp,Most of the time people helpful or mostly looking out for themselves,,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Test Questions,testji1,"Imagine large numbers of people limit energy use, how likely reduce climate change",Public Actions and Climate Change,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Test Questions,testji4,"Imagine large numbers of people limit energy use, how likely reduce climate change",,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Test Questions,testji7,"Imagine large numbers of people limit energy use, how likely reduce climate change",,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Test Questions,testji2,"How likely, large numbers of people limit energy use",Likelihood of Public Reducing Energy Use,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Test Questions,testji5,"How likely, large numbers of people limit energy use",,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Test Questions,testji8,"How likely, large numbers of people limit energy use",,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Test Questions,testji3,"How likely, governments in enough countries take action to reduce climate change",Likelihood of Governments Taking Climate Action,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Test Questions,testji6,"How likely, governments in enough countries take action to reduce climate change",,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Test Questions,testji9,"How likely, governments in enough countries take action to reduce climate change",,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Gender in Contemporary Europe,trmedmw ,Unfairly treated when visiting a doctor or seeking medical treatment because being a man/woman ,Gender Inequality,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Gender in Contemporary Europe,trwrkmw ,Unfairly treated in hiring pay or promotion at work because being a man/woman ,,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Gender in Contemporary Europe,trplcmw ,Unfairly treated by the police because being a man/woman ,,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Gender in Contemporary Europe,trmdcnt ,Women/men: treated equally fairly when seeking medical treatment in [country] ,,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Gender in Contemporary Europe,trwkcnt ,"""Women/men: treated equally fairly in hiring, pay or promotions at work in [country] ",,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Gender in Contemporary Europe,trplcnt ,How fair the police in [country] treat women/men ,,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Gender in Contemporary Europe,fineqpy ,Making businesses pay a fine when they pay men more than women for doing the same work ,,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Gender in Contemporary Europe,wlespdm ,How often women paid less than men for same work in [country] ,,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Gender in Contemporary Europe,impbemw ,How important being a man/woman is to the way respondent think about him/herself ,Perspectives on Gender Equality ,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Gender in Contemporary Europe,eqwrkbg ,Bad or good for family life in [country] if equal numbers of women and men are in paid work ,,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Gender in Contemporary Europe,eqpolbg ,Bad or good for politics in [country] if equal numbers of women and men are in positions of political leadership ,,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Gender in Contemporary Europe,eqmgmbg ,Bad or good for businesses in [country] if equal numbers of women and men are in higher management positions ,,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Gender in Contemporary Europe,eqpaybg ,Bad or good for economy in [country] if women and men receive equal pay for doing the same work ,,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Gender in Contemporary Europe,eqparep ,Dividing the number of seats in parliament equally between women and men ,,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Gender in Contemporary Europe,eqparlv ,Require both parents to take equal periods of paid leave to care for their child ,,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,rshpsts,Relationship with husband/wife/partner currently living with,Relationship and marital status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"8, 9, 10, 11",Socio-demographics,rshpsgb,"Relationship with husband/wife/partner currently living with, United Kingdom",Relationship and marital status,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,lvgptnea,"Ever lived with a partner, without being married",Relationship and marital status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,dvrcdeva,Ever been divorced/had civil union dissolved,Relationship and marital status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,marsts,Legal marital status,Relationship and marital status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"6, 8, 9, 10, 11",Socio-demographics,marstgb,"Legal marital status, United Kingdom",Relationship and marital status,"Belgium, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,maritalb,"Legal marital status, post coded",Relationship and marital status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,chldhhe,Ever had children living in household,Household children presence,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,domicil,"Domicile, respondent's description",Domicile description,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,paccmoro,"Problems with accomodation: mould or rot in windows, doors and floors",Accommodation problems,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,paccdwlr,Problems with accomodation: damp walls or leaking roof,Accommodation problems,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,pacclift,Problems with accomodation: lack of indoor flushing toilet,Accommodation problems,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,paccnbsh,Problems with accomodation: neither bath nor shower,Accommodation problems,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,paccocrw,Problems with accomodation: overcrowding,Accommodation problems,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,paccxhoc,Problems with accomodation: extremely hot or extremely cold,Accommodation problems,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,paccnois,Problems with accomodation: noise,Accommodation problems,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,paccinro,Problems with accomodation: presence of insects or rodents,Accommodation problems,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,paccnt,Problems with accomodation: none of these,Accommodation problems,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,paccref,Problems with accomodation: refusal,Accommodation problems,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,paccdk,Problems with accomodation: don't know,Accommodation problems,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,paccna,Problems with accomodation: no answer,Accommodation problems,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,edulvlb,Highest level of education,Education level,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,eisced,"Highest level of education, ES - ISCED",Education level,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 8, 9, 11",Socio-demographics,edlveat,"Highest level of education, Austria",Education level,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"6, 7, 8, 9, 10, 11",Socio-demographics,edlvebe,"Highest level of education, Belgium",Education level,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"9, 10, 11",Socio-demographics,edlvehr,"Highest level of education, Croatia",Education level,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"9, 11",Socio-demographics,edlvgcy,"Highest level of education, Cyprus",Education level,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,edlvdfi,"Highest level of education, Finland",Education level,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,edlvdfr,"Highest level of education, France",Education level,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,edudde1,"Highest level of education, Germany: höchster allgemeinbildender Schulabschluss",Education level,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,educde2,"Highest level of education, Germany: höchster Studienabschluss",Education level,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"10, 11",Socio-demographics,edlvegr,"Highest level of education, Greece",Education level,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"10, 11",Socio-demographics,edlvdahu,"Highest level of education, Hungary",Education level,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"6, 8, 9, 10, 11",Socio-demographics,edlvdis,"Highest level of education, Iceland",Education level,"Belgium, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,edlvdie,"Highest level of education, Ireland",Education level,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,edlvfit,"Highest level of education, Italy",Education level,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,edlvdlt,"Highest level of education, Lithuania",Education level,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 8, 9, 10, 11",Socio-demographics,edlvenl,"Highest level of education, Netherlands",Education level,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"10, 11",Socio-demographics,edlveno,"Highest level of education, Norway",Education level,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,edlvipl,"Highest level of education, Poland",Education level,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,edlvept,"Highest level of education, Portugal",Education level,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
